Location,Room,Area,Floor,Price
Nəriman Nərimanov m.,3 otaqlı,105 m²,5/8 mərtəbə,280 000
Nəriman Nərimanov m.,3 otaqlı,138 m²,15/20 mərtəbə,258 000
Nəriman Nərimanov m.,3 otaqlı,75 m²,4/4 mərtəbə,199 000
Nəriman Nərimanov m.,2 otaqlı,50 m²,9/9 mərtəbə,140 000
Nəriman Nərimanov m.,3 otaqlı,70 m²,14/14 mərtəbə,160 000
Nəriman Nərimanov m.,2 otaqlı,87 m²,14/17 mərtəbə,185 500
Nəriman Nərimanov m.,4 otaqlı,157 m²,3/17 mərtəbə,480 000
Nəriman Nərimanov m.,2 otaqlı,100 m²,11/17 mərtəbə,240 000
Nəriman Nərimanov m.,2 otaqlı,46 m²,14/14 mərtəbə,177 000
Nəriman Nərimanov m.,3 otaqlı,100 m²,7/12 mərtəbə,330 000
Nəriman Nərimanov m.,2 otaqlı,68 m²,14/14 mərtəbə,218 000
Nəriman Nərimanov m.,3 otaqlı,129 m²,7/17 mərtəbə,365 000
Nəriman Nərimanov m.,3 otaqlı,115 m²,5/17 mərtəbə,350 000
Nəriman Nərimanov m.,4 otaqlı,145 m²,6/20 mərtəbə,275 000
Nəriman Nərimanov m.,2 otaqlı,108 m²,7/16 mərtəbə,250 000
Nəriman Nərimanov m.,2 otaqlı,75 m²,8/10 mərtəbə,255 000
Nəriman Nərimanov m.,6 otaqlı,118 m²,4/17 mərtəbə,240 000
Nəriman Nərimanov m.,3 otaqlı,60 m²,8/9 mərtəbə,155 000
Nəriman Nərimanov m.,2 otaqlı,105 m²,4/14 mərtəbə,268 000
Nəriman Nərimanov m.,4 otaqlı,162 m²,15/17 mərtəbə,405 000
Nəriman Nərimanov m.,2 otaqlı,68.2 m²,9/14 mərtəbə,164 000
Nəriman Nərimanov m.,4 otaqlı,122.3 m²,5/14 mərtəbə,293 616
Nəriman Nərimanov m.,4 otaqlı,145 m²,6/20 mərtəbə,275 000
Nəriman Nərimanov m.,4 otaqlı,104 m²,5/16 mərtəbə,355 000
Nəriman Nərimanov m.,2 otaqlı,100 m²,2/19 mərtəbə,275 000
Nəriman Nərimanov m.,2 otaqlı,70 m²,10/10 mərtəbə,165 000
Nəriman Nərimanov m.,2 otaqlı,42.2 m²,5/9 mərtəbə,135 000
Nəriman Nərimanov m.,2 otaqlı,40.7 m²,3/9 mərtəbə,100 000
Nəriman Nərimanov m.,2 otaqlı,90 m²,11/16 mərtəbə,328 000
Nəriman Nərimanov m.,2 otaqlı,91 m²,7/17 mərtəbə,243 000
Nəriman Nərimanov m.,2 otaqlı,58 m²,11/16 mərtəbə,179 000
Nəriman Nərimanov m.,2 otaqlı,68 m²,14/14 mərtəbə,218 000
Nəriman Nərimanov m.,2 otaqlı,40.4 m²,7/9 mərtəbə,106 000
Nəriman Nərimanov m.,2 otaqlı,48 m²,3/5 mərtəbə,160 000
Nəriman Nərimanov m.,4 otaqlı,110 m²,6/9 mərtəbə,254 000
Nəriman Nərimanov m.,2 otaqlı,103 m²,4/16 mərtəbə,165 000
Nəriman Nərimanov m.,3 otaqlı,129 m²,8/19 mərtəbə,235 000
Nəriman Nərimanov m.,2 otaqlı,80 m²,15/19 mərtəbə,249 000
Nəriman Nərimanov m.,3 otaqlı,139.5 m²,7/17 mərtəbə,465 000
Nəriman Nərimanov m.,4 otaqlı,171.4 m²,11/17 mərtəbə,512 000
Nəriman Nərimanov m.,4 otaqlı,125 m²,8/10 mərtəbə,320 000
Nəriman Nərimanov m.,3 otaqlı,94 m²,7/16 mərtəbə,245 000
Nəriman Nərimanov m.,4 otaqlı,136 m²,6/20 mərtəbə,275 000
Nəriman Nərimanov m.,3 otaqlı,80 m²,15/16 mərtəbə,310 000
Nəriman Nərimanov m.,4 otaqlı,152 m²,10/14 mərtəbə,405 000
Nəriman Nərimanov m.,2 otaqlı,70 m²,9/14 mərtəbə,231 000
